央视频道,#genre#
CCTV11,http://39.134.3.73:6610/000000001666/100000000100111011/1.m3u8
CCTV12,http://39.134.3.73:6610/000000001666/100000000100111012/1.m3u8
CCTV13,http://111.40.196.30/PLTV/88888888/224/3221225504/index.m3u8
CCTV13,http://39.134.3.73:6610/000000001666/100000000100111013/1.m3u8
CCTV14,http://111.40.196.38/PLTV/88888888/224/3221225573/index.m3u8
CCTV14,http://39.134.3.73:6610/000000001666/100000000100111014/1.m3u8
CCTV15,http://111.40.196.31/PLTV/88888888/224/3221225500/index.m3u8
CCTV15,http://39.134.3.73:6610/000000001666/100000000100111015/1.m3u8
CCTV16,http://39.134.3.73:6610/000000001666/100000000100111091/1.m3u8
CCTV17,http://39.134.3.73:6610/000000001666/100000000100111016/1.m3u8

卫视频道,#genre#

软件免费,https://vd3.bdstatic.com/mda-mdee523swbezmsin/480p/h264/1618480997/mda-mdee523swbezmsin.mp4
购买盒子,https://vdse.bdstatic.com//5208fb24e1d76b0e81f992e91537f086.mp4
请联系QQ,https://vdse.bdstatic.com//0c8ed110c5522e9bd31752ecb999b1ab.mp4
394778146,https://vdse.bdstatic.com//2ead9cf04f5e9e3a99eea79534c3c104.mp4

北京卫视,http://111.40.196.38/PLTV/88888888/224/3221225529/index.m3u8

东方卫视,http://111.40.196.35/PLTV/88888888/224/3221225509/index.m3u8

湖南卫视,http://111.40.196.27/PLTV/88888888/224/3221225521/index.m3u8

浙江卫视,http://111.40.196.25/PLTV/88888888/224/3221225510/index.m3u8

江苏卫视,http://111.40.196.26/PLTV/88888888/224/3221225517/index.m3u8

天津卫视,http://111.40.196.38/PLTV/88888888/224/3221225556/index.m3u8

安徽卫视,http://111.40.196.25/PLTV/88888888/224/3221225551/index.m3u8

山东卫视,http://111.40.196.27/PLTV/88888888/224/3221225526/index.m3u8

黑龙江卫视,http://111.40.196.27/PLTV/88888888/224/3221225541/index.m3u8

辽宁卫视,http://111.40.196.34/PLTV/88888888/224/3221225593/index.m3u8

湖北卫视,http://111.40.196.34/PLTV/88888888/224/3221225549/index.m3u8

江西卫视,http://111.40.196.39/PLTV/88888888/224/3221225560/index.m3u8

东南卫视,http://111.40.196.28/PLTV/88888888/224/3221225583/index.m3u8

广东卫视,http://111.40.196.26/PLTV/88888888/224/3221225508/index.m3u8

深圳卫视,http://111.40.196.28/PLTV/88888888/224/3221225537/index.m3u8

山西卫视,https://livehhhttps.sxrtv.com/lsdream/q8RVWgs/f3sqlR0.m3u8

甘肃卫视,https://hls.gstv.com.cn/49048r/6e1sy2.m3u8

广西卫视,http://111.40.196.35/PLTV/88888888/224/3221225518/index.m3u8
广西卫视,http://111.40.196.27/PLTV/88888888/224/3221225601/index.m3u8

云南卫视,http://111.40.196.36/PLTV/88888888/224/3221225635/index.m3u8
云南卫视,http://111.40.196.29/PLTV/88888888/224/3221225644/index.m3u8

贵州卫视,http://111.40.196.25/PLTV/88888888/224/3221225522/index.m3u8
贵州卫视,http://111.40.196.25/PLTV/88888888/224/3221225585/index.m3u8

四川卫视,http://111.40.196.34/PLTV/88888888/224/3221225562/index.m3u8
四川卫视,http://111.40.196.26/PLTV/88888888/224/3221225595/index.m3u8

康巴卫视,http://111.40.196.38/PLTV/88888888/224/3221225648/index.m3u8

新疆卫视,http://111.40.196.26/PLTV/88888888/224/3221225598/index.m3u8
新疆卫视,http://111.40.196.38/PLTV/88888888/224/3221225633/index.m3u8

兵团卫视,http://111.40.196.31/PLTV/88888888/224/3221225637/index.m3u8

西藏卫视,http://111.40.196.36/PLTV/88888888/224/3221225646/index.m3u8
西藏卫视,http://111.40.196.39/PLTV/88888888/224/3221225651/index.m3u8

西藏藏语卫视,http://111.40.196.32/PLTV/88888888/224/3221225676/index.m3u8

海南卫视,http://111.40.196.35/PLTV/88888888/224/3221225623/index.m3u8
海南卫视,http://111.40.196.26/PLTV/88888888/224/3221225640/index.m3u8

厦门卫视,http://111.40.196.34/PLTV/88888888/224/3221225643/index.m3u8

内蒙古卫视,http://111.40.196.34/PLTV/88888888/224/3221225629/index.m3u8

宁夏卫视,http://111.40.196.31/PLTV/88888888/224/3221225530/index.m3u8
宁夏卫视,http://111.40.196.29/PLTV/88888888/224/3221225641/index.m3u8

甘肃卫视,http://111.40.196.38/PLTV/88888888/224/3221225572/index.m3u8
甘肃卫视,http://111.40.196.28/PLTV/88888888/224/3221225639/index.m3u8

青海卫视,http://111.40.196.27/PLTV/88888888/224/3221225568/index.m3u8
青海卫视,http://111.40.196.28/PLTV/88888888/224/3221225625/index.m3u8

安多卫视,http://111.40.196.28/PLTV/88888888/224/3221225666/index.m3u8

陕西卫视,http://111.40.196.34/PLTV/88888888/224/3221225582/index.m3u8
陕西卫视,http://111.40.196.26/PLTV/88888888/224/3221225631/index.m3u8

河北卫视,http://111.40.196.32/PLTV/88888888/224/3221225564/index.m3u8
河北卫视,http://111.40.196.27/PLTV/88888888/224/3221225627/index.m3u8

山西卫视,http://111.40.196.26/PLTV/88888888/224/3221225520/index.m3u8
山西卫视,http://111.40.196.38/PLTV/88888888/224/3221225649/index.m3u8

重庆卫视,http://111.40.196.31/PLTV/88888888/224/3221225514/index.m3u8


港澳频道,#genre#

软件免费,https://vd3.bdstatic.com/mda-mdee523swbezmsin/480p/h264/1618480997/mda-mdee523swbezmsin.mp4
购买盒子,https://vdse.bdstatic.com//5208fb24e1d76b0e81f992e91537f086.mp4
请联系QQ,https://vdse.bdstatic.com//0c8ed110c5522e9bd31752ecb999b1ab.mp4
394778146,https://vdse.bdstatic.com//2ead9cf04f5e9e3a99eea79534c3c104.mp4

香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8


凤凰中文台,http://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰资讯台,http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰香港台,http://183.207.249.35/PLTV/3/224/3221226975/index.m3u8

亚洲ATV,https://juyunlive.juyun.tv/live/24950198.m3u8
耀才財經台1,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
C+,http://gslbmeiah.cdn.hk.chinamobile.com/livehls/MOB-U1-NO/03.m3u8
無綫stock,http://kkmix1.f3322.net:825/hls/ch2/s.m3u8

翡翠台,http://astream.apk1088.com:18888/channel.php?id=1350_1500
无线新闻台,P2p://ns2.hellotvvod.com:9906/977fac4b93af4ee0a190f38217d79e51
无线财经·资讯台,P2p://ns2.hellotvvod.com:9906/790b3d24875349d8b3118357cb9a5124
明珠台,P2p://ns2.hellotvvod.com:9906/7a62960513a04dc18339caabbf644cd9
ViuTVsix,P2p://ns2.hellotvvod.com:9906/0a2171b6dcd6420c98ccfb7c7f524504
ViuTV,P2p://ns2.hellotvvod.com:9906/d7506148214e4b3fae543068f1701ff7

澳亚卫视,http://live.mastvnet.com:800/4rlff1m/1024/live.m3u8
澳門衛星頻道,http://61.244.22.4/ch3/ch3.live/playelist.m3u8
澳視澳門,http://61.244.22.4/ch1/ch1.live/playelist.m3u8
澳門綜藝頻道,http://61.244.22.4/ch6/_definst_/hd_ch6.live/playlist.m3u8
澳視體育頻道,http://61.244.22.4/ch4/sport_ch4.live/master.m3u8

澳視葡文台,http://61.244.22.4/ch2/ch2.live/master.m3u8


台湾频道_2022,#genre#

软件免费,https://vd3.bdstatic.com/mda-mdee523swbezmsin/480p/h264/1618480997/mda-mdee523swbezmsin.mp4
购买盒子,https://vdse.bdstatic.com//5208fb24e1d76b0e81f992e91537f086.mp4
请联系QQ,https://vdse.bdstatic.com//0c8ed110c5522e9bd31752ecb999b1ab.mp4
394778146,https://vdse.bdstatic.com//2ead9cf04f5e9e3a99eea79534c3c104.mp4

民视,P2p://ns2.hellotvvod.com:9906/44cf4d1e73cc4c34843382f2bf89d49f
人间卫视,P2p://ns2.hellotvvod.com:9906/eec8f95a22de4a0ea2907a53ad0e62d2
台视,P2p://ns2.hellotvvod.com:9906/0cde14d20638479189443549d1b1005f
大爱,P2p://ns2.hellotvvod.com:9906/47e0000522814c6aac7d54c8bec91445
中视,P2p://ns2.hellotvvod.com:9906/21fe3c316a13445a8a5b1f4afd39a5b1
霹雳台湾台,P2p://ns2.hellotvvod.com:9906/85d6caf44ce4449e8600dc86d1c7be21
华视,P2p://ns2.hellotvvod.com:9906/fd73b217be314cf198807cc5d1d911b6
公视,P2p://ns2.hellotvvod.com:9906/a1c2ecbcd3b64f3eb72ac9191b337cda
公视台语台,P2p://ns2.hellotvvod.com:9906/cc76c2a0dc1f4fe0b4ca8f0c0f6e31d9
好消息,P2p://ns2.hellotvvod.com:9906/7df332eeb26546bf94a972d4c2d1ad4e
原住民电视台,P2p://ns2.hellotvvod.com:9906/aa08defb0c824c2286623855624a0e07
客家电视台,P2p://ns2.hellotvvod.com:9906/bcf16a66476d4c88a5ea6b7d40a56e7c
国家地理频道,P2p://ns2.hellotvvod.com:9906/cbf2e0c0e1ed4e11a564047614cb962d
探索频道,P2p://ns2.hellotvvod.com:9906/9c0a057219044213ac643c8a8e5d50c0
TLC旅游生活,P2p://ns2.hellotvvod.com:9906/785e9237d2864f23b3fbf5e72b645812
动物星球,P2p://ns2.hellotvvod.com:9906/8df6a02edb7946eebae8115ab6fd8ec7
CN卡通频道,P2p://ns2.hellotvvod.com:9906/51e593fae95f48968c181b6a47179526
迪士尼频道,P2p://ns2.hellotvvod.com:9906/d24a14f362fb47d8a603b41462ad0f9b
MOMO亲子台,P2p://ns2.hellotvvod.com:9906/d3ae733f3d61464e8f240d812c0b1516
东森幼幼台,P2p://ns2.hellotvvod.com:9906/a5729018eb3d44c4b4033e72ea4af060
纬来综合台,P2p://ns2.hellotvvod.com:9906/30dab7cccf3842838ef7edfdabcf57c2
八大第一台,P2p://ns2.hellotvvod.com:9906/7826fa652c474b55888ef85c30901584
八大综合台,P2p://ns2.hellotvvod.com:9906/578cc70bac494161901e5c735312762c
三立台湾台,P2p://ns2.hellotvvod.com:9906/ba70eb94fd0e4b2aae6fb9ece2203391
三立都会台,P2p://ns2.hellotvvod.com:9906/24f879b52a0d45d886005e8acdd9a8ab
东森综合台,P2p://ns2.hellotvvod.com:9906/8c962bcce29840f4a4f0109bfd7fe5c0
超视,P2p://ns2.hellotvvod.com:9906/941259e9297d4a229c678f08b19f60f1
中天综合台,P2p://ns2.hellotvvod.com:9906/a23f89fde21341f3b172046c02ad688c
中天娱乐台,P2p://ns2.hellotvvod.com:9906/c23914b1e52c44a9b665e51f535d5b37
东森戏剧台,P2p://ns2.hellotvvod.com:9906/8ad6da5302064e3a8b67ccc9848614e5
八大戏剧台,P2p://ns2.hellotvvod.com:9906/ea7f77bf68254477b2a29793cf65f55a
TVBS欢乐台,P2p://ns2.hellotvvod.com:9906/b4b85eca20d7462fae595d8033c6a9ce
纬来戏剧台,P2p://ns2.hellotvvod.com:9906/c4d3341645874d9fab6329a7f83f5121
高点综合台,P2p://ns2.hellotvvod.com:9906/ab09bd3fc7f3412ea9d38b3cf68302b0
BBC World News,P2p://ns2.hellotvvod.com:9906/a1e038f1cfd74f758f916dc7e17572b5
Al Jazeera English,P2p://ns2.hellotvvod.com:9906/f24308be3336455bb0f20ddcd641d725
CNBC,P2p://ns2.hellotvvod.com:9906/52303054ad214adda0129d322912164d
Bloomberg TV,P2p://ns2.hellotvvod.com:9906/3e4c9ed6b58342fbaa531f02aa120a58
HITS,P2p://ns2.hellotvvod.com:9906/8bc2e742cb57462c924904032624a6fd
壹电视新闻台,P2p://ns2.hellotvvod.com:9906/c111818e11e8420aaad164543387473c
年代新闻,P2p://ns2.hellotvvod.com:9906/a412a974b1c24427ba506b9fcd95d77b
东森新闻台,P2p://ns2.hellotvvod.com:9906/d98879e5737d4c44b3dd85bc349775e0
博斯运动2,http://211.23.114.106:8565/http/59.120.8.187:8081/hls/61/803/ch04.m3u8

博斯运动1,http://211.23.114.106:8564/http/59.120.8.187:8066/hls/210/10018/cstv18.m3u8

纬来体育,http://211.23.114.106:8563/http/59.120.8.187:8081/hls/67/809/ch28.m3u8

纬来育乐,http://211.23.114.106:8562/http/116.50.42.19:8081/hls/68/810/ch30.m3u8

FOX频道,http://211.23.114.106:8561/http/116.50.42.19:8081/hls/61/803/ch02.m3u8

FOXmovies,http://211.23.114.106:8560/http/116.50.42.19:8081/hls/62/804/ch08.m3u8

Cinemax,http://211.23.114.106:8559/http/116.50.42.19:8081/hls/71/813/ch42.m3u8

AXN电影,http://211.23.114.106:8558/http/116.50.42.19:8081/hls/71/813/ch43.m3u8

HBO HD,http://211.23.114.106:8511/http/116.50.42.19:8081/hls/71/813/ch41.m3u8

龙华电影台,http://211.23.114.106:8556/http/116.50.42.19:8066/hls/210/10014/cstv14.m3u8

纬来电影台,http://211.23.114.106:8555/http/116.50.42.19:8081/hls/69/811/ch35.m3u8

好莱坞电影,http://211.23.114.106:8554/http/116.50.42.19:8081/hls/74/816/ch55.m3u8

卫视电影台,http://211.23.114.106:8553/http/116.50.42.19:8081/hls/62/804/ch07.m3u8

NHK新闻,http://211.23.114.106:8552/http/116.50.42.19:8081/hls/62/804/ch06.m3u8

Bloomberg,http://211.23.114.106:8551/http/116.50.42.19:8078/hls/43/80/bloomber.m3u8

CNBC新闻,http://211.23.114.106:8550/http/116.50.42.19:8078/hls/24/80/cnbc90.m3u8

CNN新闻,http://211.23.114.106:8549/http/116.50.42.19:8081/hls/68/810/ch29.m3u8

壹新闻台,http://211.23.114.106:8548/http/116.50.42.19:8081/hls/66/808/ch24.m3u8

寰宇新闻,http://211.23.114.106:8547/http/116.50.42.19:8081/hls/76/818/ch62.m3u8

东森财经,http://211.23.114.106:8546/http/116.50.42.19:8081/hls/63/805/ch11.m3u8

TVBS HD,http://211.23.114.106:8545/http/116.50.42.19:8081/hls/64/806/ch15.m3u8

TVBS新闻,http://211.23.114.106:8546/http/116.50.42.19:8081/hls/64/806/ch16.m3u8

三立新闻,http://211.23.114.106:8543/http/60.251.39.91:8081/hls/65/807/ch18.m3u8

民视新闻,http://211.23.114.106:8542/http/60.251.39.91:8081/hls/73/815/ch51.m3u8

中天新闻,http://211.23.114.106:8541/http/60.251.39.91:8081/hls/78/80/ch63max.m3u8

东森新闻,http://211.23.114.106:8540/http/60.251.39.91:8081/hls/63/805/ch10.m3u8

年代新闻,http://211.23.114.106:8517/http/60.251.39.91:8081/hls/67/809/ch27.m3u8

WAKUWAKU JAPAN,http://211.23.114.106:8538/http/60.251.39.91:8081/hls/61/803/ch03.m3u8

纬来日本,http://211.23.114.106:8537/http/60.251.39.91:8081/hls/69/811/ch34.m3u8

龙华偶像,http://211.23.114.106:8579/http/59.120.8.187:8066/hls/210/10012/cstv12.m3u8

龙华日韩,http://211.23.114.106:8535/http/59.120.8.187:8066/hls/210/10011/cstv11.m3u8

龙华戏剧,http://211.23.114.106:8534/http/59.120.8.187:8066/hls/210/10010/cstv10.m3u8

纬来戏剧,http://211.23.114.106:8533/http/60.251.39.91:8081/hls/69/811/ch33.m3u8
TVBS欢乐,http://211.23.114.106:8532/http/60.251.39.91:8081/hls/65/807/ch17.m3u8

八大戏剧,http://211.23.114.106:8531/http/60.251.39.91:8081/hls/66/808/ch23.m3u8

东森戏剧,http://211.23.114.106:8530/http/60.251.39.91:8081/hls/64/806/ch13.m3u8

MuchTV,http://211.23.114.106:8529/http/60.251.39.91:8081/hls/72/814/ch45.m3u8

东风卫视,http://211.23.114.106:8578/http/60.251.39.91:8081/hls/68/810/ch31.m3u8

中天娱乐,http://211.23.114.106:8527/http/60.251.39.91:8081/hls/67/809/ch26.m3u8

中天综合,http://211.23.114.106:8526/http/60.251.39.91:8081/hls/67/809/ch25.m3u8

东森超视,http://211.23.114.106:8525/http/60.251.39.91:8081/hls/64/806/ch14.m3u8

东森综合,http://211.23.114.106:8524/http/60.251.39.91:8081/hls/63/805/ch12.m3u8

卫视中文,http://211.23.114.106:8514/http/60.251.39.91:8081/hls/62/804/ch05.m3u8

三立都会,http://211.23.114.106:8522/http/60.251.39.91:8081/hls/65/807/ch19.m3u8

三立台湾,http://211.23.114.106:8521/http/60.251.39.91:8081/hls/65/807/ch20.m3u8

八大综合,http://211.23.114.106:8520/http/61.221.81.94:8088/hls/66/808/ch21.m3u8

八大第一,http://211.23.114.106:8536/http/61.221.81.94:8088/hls/66/808/ch22.m3u8

纬来综合,http://211.23.114.106:8518/http/61.221.81.94:8088/hls/68/810/ch32.m3u8

ANIMAX,http://211.23.114.106:8516/http/61.221.81.94:8088/hls/70/812/ch39.m3u8

亚洲旅游,http://211.23.114.106:8513/http/61.221.81.94:8088/hls/76/818/ch61.m3u8

八大综合,http://211.23.114.106:8520/http/61.221.81.94:8088/hls/66/808/ch21.m3u8

Discovery,http://211.23.114.106:8510/http/61.221.81.94:8088/hls/71/813/ch44.m3u8

国家地理,http://211.23.114.106:8509/http/61.221.81.94:8088/hls/61/803/ch01.m3u8

公视,http://211.23.114.106:8505/http/61.221.81.94:8088/hls/73/815/ch50.m3u8

民视,http://211.23.114.106:8504/http/61.221.81.94:8088/hls/73/815/ch49.m3u8

华视,http://211.23.114.106:8503/http/61.221.81.94:8088/hls/72/814/ch48.m3u8

中视,http://211.23.114.106:8502/http/61.221.81.94:8088/hls/72/814/ch47.m3u8

台视,http://211.23.114.106:8502/http/61.221.81.94:8088/hls/71/813/ch46.m3u8


影视频道,#genre#

软件免费,https://vd3.bdstatic.com/mda-mdee523swbezmsin/480p/h264/1618480997/mda-mdee523swbezmsin.mp4
购买盒子,https://vdse.bdstatic.com//5208fb24e1d76b0e81f992e91537f086.mp4
请联系QQ,https://vdse.bdstatic.com//0c8ed110c5522e9bd31752ecb999b1ab.mp4
394778146,https://vdse.bdstatic.com//2ead9cf04f5e9e3a99eea79534c3c104.mp4

橙子1台,http://103.140.229.13/BOBO/bibi.php?id=23318788
橙子2台,http://103.140.229.13/BOBO/bibi.php?id=21571201
橙子3台,http://103.140.229.13/BOBO/bibi.php?id=23318768
橙子4台,http://103.140.229.13/BOBO/bibi.php?id=23320714
經典电影,http://103.140.229.13/BOBO/bibi.php?id=23285297
經典功夫,http://103.140.229.13/BOBO/bibi.php?id=21715386
經典影艺,http://103.140.229.13/BOBO/bibi.php?id=608888
U影厅,http://103.140.229.13/BOBO/bibi.php?id=22449693
【周星驰】喜剧 动作 24H,http://103.140.229.13/BOBO/bibi.php?id=47917
还珠格格24H轮播【小辣条影院】,http://103.140.229.13/BOBO/bibi.php?id=21318393
【林正英】香港鬼片 僵尸 女鬼 24小时,http://103.140.229.13/BOBO/bibi.php?id=70155
超清下饭剧,http://103.140.229.13/BOBO/bibi.php?id=21354981
武林外传,http://103.140.229.13/BOBO/bibi.php?id=10452911
蜡笔小新,http://103.140.229.13/BOBO/bibi.php?id=21570935
高画质/恶作剧之吻1、2部 24h无限播,http://103.140.229.13/BOBO/bibi.php?id=21298611
【海爷 2号厅】科幻 巨兽 动作,http://103.140.229.13/BOBO/bibi.php?id=1929865
【邵氏影院】经典武侠 动作 老电影你懂的,http://103.140.229.13/BOBO/bibi.php?id=21759196
品行忠厚和胖胖o(*////▽////*,http://103.140.229.13/BOBO/bibi.php?id=6694373

私人频道_2022,#genre#

软件免费,https://v1.ckcdn2001.com/video/m3u8/2020/06/22/5d75e0be/index.m3u8
购买盒子,https://ckcdnz4.cdn2020.com/video/m3u8/2020/07/11/ef40a61c/index.m3u8
请联系QQ,https://t4s.cdn2020.com/video/m3u8/2020/08/06/47fd837e/index.m3u8
394778146,https://t11.cdn2020.com:12336/video/m3u8/2021/09/23/7e3e81a8/index.m3u8

彩虹e台,P2p://ns2.hellotvvod.com:9906/fa9fcb0ade2e4683a489497cda4861db
彩虹电影台,P2p://ns2.hellotvvod.com:9906/cc404855490643bb968e764f6e2f0fb9


音乐频道,#genre#

软件免费,https://vd3.bdstatic.com/mda-mdee523swbezmsin/480p/h264/1618480997/mda-mdee523swbezmsin.mp4
购买盒子,https://vdse.bdstatic.com//5208fb24e1d76b0e81f992e91537f086.mp4
请联系QQ,https://vdse.bdstatic.com//0c8ed110c5522e9bd31752ecb999b1ab.mp4
394778146,https://vdse.bdstatic.com//2ead9cf04f5e9e3a99eea79534c3c104.mp4

血染的风采,https://rescdn.yishihui.com/longvideo/transcode/video/vpc/20201217/5623330UVqF1sc8YPbod665sH.mp4
笑脸,http://vdown1.kuwo.cn:80/resource//t1/14/c968be11ed654992b0995d9dc8efde50.mp4
爱情鸟,http://vdown.kuwo.cn:80/resource//t4/69/75/bD9N0L_qjcM.mp4
谁说也不信他,https://vd2.bdstatic.com/mda-kh1uetayg4gt1qbd/mda-kh1uetayg4gt1qbd.mp4?auth_key=1602769067-0-0-e4258573dbc95ac47e359c248ff83581&bcevod_channel=searchbox_feed&pd=1&pt=3&abtest=8797_2&sle=1&sl=722&split=717082
《上海滩》,https://vd4.bdstatic.com/mda-keck5jhdaagebxkm/v1-cae/mda-keck5jhdaagebxkm.mp4?auth_key=1602762530-0-0-3e02c62e492e00c28c5557d41188d769&bcevod_channel=searchbox_feed&pd=1&pt=3&abtest=8797_2&sle=1&sl=288&split=391503
《戏说乾隆》问情,https://vd2.bdstatic.com/mda-kirqb8wp0wx6nm8b/v1-cae/1080p/mda-kirqb8wp0wx6nm8b.mp4?auth_key=1602762598-0-0-7b8d213378f4f9825a4e3d01ca6846bc&bcevod_channel=searchbox_feed&pd=1&pt=3&abtest=8797_2&sle=1&sl=1378&split=1332772
《射雕英雄传》铁血丹心,https://vd3.bdstatic.com/mda-khjnfj0ka5nrny59/v1-cae/1080p/mda-khjnfj0ka5nrny59.mp4?auth_key=1602762666-0-0-eff8f1206a48a0b6167fa00fd4bb8076&bcevod_channel=searchbox_feed&pd=1&pt=3&abtest=8797_2&sle=1&sl=1918&split=1700160
《射雕英雄传》一生有意义,https://vd3.bdstatic.com/mda-kj74j7irzzwigeue/v1-cae/mda-kj74j7irzzwigeue.mp4?auth_key=1602762719-0-0-9c37fef7bf2fb0a2c90258ff110c9817&bcevod_channel=searchbox_feed&pd=1&pt=3&abtest=8797_2&sle=1&sl=446&split=365568
《雪山飞狐》雪中情,https://vd4.bdstatic.com/mda-kh4hdntg23ym4pdd/v1-cae/1080p/mda-kh4hdntg23ym4pdd.mp4?auth_key=1602762806-0-0-c62ee181e3154376fdb29cb447ad26cc&bcevod_channel=searchbox_feed&pd=1&pt=3&abtest=8797_2&sle=1&sl=2571&split=2274845
《再向虎山行》,https://vd2.bdstatic.com/mda-kijh03dq1yerajbr/v1-cae/mda-kijh03dq1yerajbr.mp4?auth_key=1602762863-0-0-fe24ff06331ee36586f91d8e2fa4e79f&bcevod_channel=searchbox_feed&pd=1&pt=3&abtest=8797_2&sle=1&sl=625&split=684611
《陈真》大号是中华,https://vd3.bdstatic.com/mda-khrm8r7h1r3q39jb/v1-cae/1080p/mda-khrm8r7h1r3q39jb.mp4?auth_key=1602762899-0-0-fa4942bdb1636f5929c7a02c5c521a38&bcevod_channel=searchbox_feed&pd=1&pt=3&abtest=8797_2&sle=1&sl=2501&split=2168960
《大侠霍元甲》万里长城永不倒,https://vd4.bdstatic.com/mda-kijvx9feb3k1j5n1/v1-cae/1080p/mda-kijvx9feb3k1j5n1.mp4?auth_key=1602762980-0-0-f48890957552ca8a1e663c944cc67e34&bcevod_channel=searchbox_feed&pd=1&pt=3&abtest=8797_2&sle=1&sl=2668&split=2321210
《霍东阁》好小子,https://vd2.bdstatic.com/mda-ki4ntfxqzkgsr3zn/v1-cae/mda-ki4ntfxqzkgsr3zn.mp4?auth_key=1602763065-0-0-edd452ca941981158107909c858fe451&bcevod_channel=searchbox_feed&pd=1&pt=3&abtest=8797_2&sle=1&sl=765&split=801207
《八仙过海》,https://vd3.bdstatic.com/mda-kihexai25bqga6uk/v1-cae/mda-kihexai25bqga6uk.mp4?auth_key=1602763121-0-0-f94170279fa62c9bba5088ff33704ffa&bcevod_channel=searchbox_feed&pd=1&pt=3&abtest=8797_2&sle=1&sl=668&split=725843
醉拳,https://vd2.bdstatic.com:443/mda-mdpdpth0ucgdrbe6/1080p/cae_h264/1619257777/mda-mdpdpth0ucgdrbe6.mp4
天也不懂情,https://vd3.bdstatic.com:443/mda-mj54p1ia0vtb0wg5/1080p/cae_h264/1633492598325868795/mda-mj54p1ia0vtb0wg5.mp4
渡情,https://vd2.bdstatic.com:443/mda-mh0r91ywnmuwfpv3/1080p/cae_h264/1627844431734379122/mda-mh0r91ywnmuwfpv3.mp4
渡情,http://qukufile2.qianqian.com/data2/video/e8016d9909a1a4702b0dd70a3a88be83/613405966/613405966.mp4
爱情一阵风,https://vd4.bdstatic.com:443/mda-mdkd7yybv4y505qa/1080p/h264_cae/1620480120114753589/mda-mdkd7yybv4y505qa.mp4
中华民谣,http://song.mvbox.cn/mv/15/90509715-6.mp4
一起走过的日子,https://vd2.bdstatic.com:443/mda-mh8denkrcc9je91r/1080p/cae_h264/1628501876466224170/mda-mh8denkrcc9je91r.mp4
感动天感动地,http://song.mvbox.cn/mv/59/90567359-1.mp4
世界第一等,http://vdown1.kuwo.cn:80/resource/t1/43/v020040b0000bfba768858lv9n93b3eg.mp4
世界第一等,http://qukufile2.qianqian.com/data2/video/42fb57e477f5bd48f0e4be295bd1d218/607996216/607996216.mp4
开心的马骝,http://vdown2.kuwo.cn:80/resource//t1/30/ed2559a3c21f46b3b100559967ffda40.mp4
杜德伟-情人,http://vdown.kuwo.cn:80/resource/t4/59/86/iXqIb2KOC3M.mp4
